stop_id,stop_code,stop_name,stop_lat,stop_lon
stop_26_94157_75_80026,MKCHA,"MOCHIYO KI CHABIL",26.941573,75.800264
stop_26_94592_75_79803,SNAGA,"SHASTRI NAGAR",26.945924,75.798028
stop_26_95435_75_79354,RSCHO,"RESIDENCY SCHOOL",26.954351,75.793539
stop_26_95821_75_79104,VNAGA,"VIDHYADHAR NAGAR",26.958209,75.791045
stop_26_95984_75_78610,MAMOD,"MANDIR MOD",26.959843,75.786103
stop_26_96257_75_78041,CRMOD,"CROSS ROAD MOD",26.96257,75.78041
stop_26_96280_75_77993,VTHAN,"VIDHYADHAR THANA",26.9628,75.779927
stop_26_96699_75_77245,AKC,"ALKA CINEMA",26.96699,75.77245
stop_26_97027_75_76594,MURLI,"MURLIPURA",26.970274,75.765938
stop_26_96840_75_75450,DKP,"DADI KA PHATAK",26.9684,75.7545
stop_26_97029_75_76044,KPLAC,"KEDIA PALACE",26.970292,75.7604361
stop_26_97030_75_76472,MURLI,"MURLIPURA",26.970297,75.764717
stop_26_97094_75_77167,VKI1,"VKI NO. 1",26.970939,75.771666
stop_26_96641_75_77276,AKC,"ALKA CINEMA",26.966409,75.772763
stop_26_96306_75_77981,VTHAN,"VIDHYADHAR THANA",26.963057,75.779809
stop_26_96140_75_78330,CRMOD,"CROSS ROAD MOD",26.961403,75.783296
stop_26_95989_75_78640,MAMOD,"MANDIR MOD",26.959893,75.786398
stop_26_95838_75_79085,VNAGA,"VIDHYADHAR NAGAR",26.958379,75.790849
stop_26_95453_75_79362,RSCHO,"RESIDENCY SCHOOL",26.954533,75.79362
stop_26_94549_75_79851,SNAGA,"SHASTRI NAGAR",26.945485,75.798508
stop_26_94141_75_80050,MKCHA,"MOCHIYO KI CHABIL",26.941412,75.800496
stop_26_93911_75_80230,PKTAN,"PANI KI TANKI",26.939114,75.802299
stop_26_93036_75_80185,PRH,"POWER HOUSE",26.930361,75.801854
stop_26_92894_75_80388,MYANK,"MAYANK",26.928939,75.803885
stop_26_92701_75_80812,CDE,"CHANDPOLE",26.92701,75.808119
stop_26_91784_75_80174,GPO,"GPO",26.91784,75.801736
stop_26_91499_75_81687,AJG,"AJMERI GATE",26.91499,75.816869
stop_26_90757_75_81530,RBH,"SMS HOSPITAL",26.907565,75.815297
stop_26_89925_75_81225,NSCIR,"NARAYAN SINGH CIRCLE",26.899248,75.812251
stop_26_89454_75_80853,RBC,"RAMBAGH CIRCLE",26.89454,75.808531
stop_26_88530_75_80186,SBM,"SABJI MANDI",26.885303,75.801861
stop_26_85826_75_79547,MNAGA,"MAHAVEER NAGAR",26.858265,75.795468
stop_26_84996_75_79413,DGP,"DURGAPURA",26.849958,75.794129
stop_26_85230_75_78267,MFARM,"MAHARANI FARM",26.852295,75.782669
stop_26_84785_75_76995,VIJAY,"VIJAY PATH",26.84785,75.76995
stop_26_84145_75_77025,AGARW,"AGARWAL FARM",26.841452,75.770247
stop_26_87078_75_69744,BKA,"BHAKROTA",26.87078,75.69744
stop_26_87507_75_70865,KHP,"KESHAV PURA",26.875072,75.708655
stop_26_87825_75_71567,KNR,"KAMLA NEHRU NAGAR",26.878247,75.715673
stop_26_87382_75_72244,NVHAR,"NARAIN VIHAR",26.873821,75.722436
stop_26_87572_75_72556,GAMOD,"GAJSINGHPURA MOD",26.875716,75.725556
stop_26_87580_75_72560,VAGAR,"VARDHMAN NAGAR",26.8758,75.7256
stop_26_87913_75_73317,BADAR,"BADARWAS",26.879132,75.733169
stop_26_87952_75_75007,MMETR,"MANSAROWER METRO",26.87952,75.75007
stop_26_86972_75_75099,SWPM,"SWARN PATH MOD",26.869719,75.750992
stop_26_86330_75_75419,RATPM,"RAJAT PATH MOD",26.863303,75.754192
stop_26_85685_75_75828,GOLYS,"GOLYAWAS",26.856847,75.758284
stop_26_84695_75_76451,VPTM,"VIJAY PATH MOD",26.846953,75.764511
stop_26_83910_75_76803,AFMOD,"AGARWAL FARM MOD",26.839104,75.768027
stop_26_82944_75_77456,SANRI,"SANGANER RIICO",26.829441,75.774557
stop_26_81944_75_78181,CHORD,"CHORDIA PETROL PAMP",26.819442,75.781807
stop_26_81892_75_78364,STADI,"STADIUM",26.81892,75.78364
stop_26_81922_75_79638,SGT,"SANGANER THANA",26.8192174,75.796378
stop_26_80879_75_80576,GHA,"GOSHALA",26.80879,75.80576
stop_26_80900_75_80340,SECT3,"SECTOR 3",26.809,75.8034
stop_26_79650_75_81395,SEC8,"SECTOR 8",26.7965,75.813954
stop_26_78548_75_82257,IAG,"INDIA GATE",26.78548,75.82257
stop_26_78116_75_82885,PRC,"PODAR CIRCLE",26.781158,75.828846
stop_26_77869_75_84186,AMR,"CHATRALA CIRCLE",26.778695,75.841858
stop_26_76902_75_84644,KKI,"GONER PHATAK",26.769016,75.84644
stop_26_77031_75_85289,JML,"MGH",26.770306,75.852889
stop_26_81110_75_80279,GHA,"GOSHALA",26.811104,75.802792
stop_26_81981_75_78146,CHORD,"CHORDIA PETROL PAMP",26.819813,75.781456
stop_26_82955_75_77429,SANRI,"SANGANER RIICO",26.82955,75.774289
stop_26_83869_75_76804,AFMOD,"AGARWAL FARM MOD",26.83869,75.768036
stop_26_84669_75_76444,VPTM,"VIJAY PATH MOD",26.846687,75.764437
stop_26_85673_75_75807,GOLYS,"GOLYAWAS",26.856729,75.758072
stop_26_86314_75_75400,RATPM,"RAJAT PATH MOD",26.86314,75.753997
stop_26_86972_75_75071,SWPM,"SWARN PATH MOD",26.869725,75.750712
stop_26_87959_75_74226,BADAR,"BADARWAS",26.87959,75.742262
stop_26_87888_75_73314,VAGAR,"VARDHMAN NAGAR",26.87888,75.733145
stop_26_87557_75_72557,GAMOD,"GAJSINGHPURA MOD",26.87557,75.725565
stop_26_87366_75_72252,NVHAR,"NARAIN VIHAR",26.873664,75.722517
stop_26_87826_75_71651,KNR,"KAMLA NEHRU NAGAR",26.878264,75.716508
stop_26_87543_75_71078,KHP,"KESHAV PURA",26.875433,75.710777
stop_26_98223_75_68399,LNDP,"LALCHANDPURA",26.982227,75.68399
stop_26_97782_75_69523,GTM,"GLABA BABA TEMPLE MODE",26.97782,75.695233
stop_26_97495_75_70185,BWN,"BHAGWATI NAGAR",26.974946,75.701855
stop_26_97428_75_70656,MS,"MILITRY STATION",26.974278,75.70656
stop_26_97222_75_71135,GLR,"GOVINDPURA LINK ROAD",26.972216,75.711348
stop_26_97172_75_71391,NIWAR,"NIWARU",26.97172,75.71391
stop_26_96872_75_71668,AMH,"AMBE HOSPITAL",26.968723,75.716683
stop_26_96346_75_72830,NATH,"NATH JI KI",26.96346,75.7283
stop_26_95922_75_73574,BY PA,"BY PASS",26.95922,75.73574
stop_26_95744_75_73939,NETA,"NETA KI CHAKI",26.957444,75.739389
stop_26_95643_75_74095,LAXMI,"LAXMI NAGAR",26.956434,75.740951
stop_26_95460_75_74552,HEERB,"HEERA BADI",26.9546,75.74552
stop_26_95309_75_75017,SIR,"SHALIMAR",26.953085,75.750172
stop_26_94473_75_74414,KANTA,"KANTA",26.944733,75.74414
stop_26_93563_75_79280,TBHOS,"T.B.HOSPITAL",26.935625,75.792798
stop_26_91840_75_84855,GALTG,"GALTA GATE",26.9184,75.84855
stop_26_93080_75_84505,EID,"EIDGAH",26.930799,75.845052
stop_26_93879_75_84677,KHM,"KHOLE KE HANUMAN JI",26.93879,75.846766
stop_26_96864_75_71680,AMH,"AMBE HOSPITAL",26.968643,75.716802
stop_26_90725_75_81526,MLAGE,"MAHARANI COLLAGE",26.907248,75.815257
stop_26_89911_75_81214,RBH,"SMS HOSPITAL",26.89911,75.812139
stop_26_89520_75_80909,NSCIR,"NARAYAN SINGH CIRCLE",26.895199,75.809087
stop_26_89179_75_80623,RBC,"RAMBAGH CIRCLE",26.891787,75.806228
stop_26_87947_75_79909,GNMOD,"GANDHI NAGAR MOD",26.879469,75.79909
stop_26_87342_75_79752,GLA,"TONK PHATAK",26.873416,75.797522
stop_26_84969_75_79404,MNAGA,"MAHAVEER NAGAR",26.84969,75.79404
stop_26_84218_75_79375,DGP,"DURGAPURA",26.842181,75.793745
stop_26_81880_75_79729,RMN,"RAM MANDIR",26.818795,75.797287
stop_26_81575_75_79960,SGT,"SANGANER THANA",26.81575,75.799596
stop_26_81088_75_80315,BOOKI,"BOOKING",26.810876,75.803149
stop_26_80289_75_80912,SECT3,"SECTOR 3",26.802887,75.809124
stop_26_79643_75_81405,SEC5,"SECTOR 5",26.796431,75.814048
stop_26_78492_75_82276,SEC8,"SECTOR 8",26.784919,75.82276
stop_26_78015_75_82637,IAG,"INDIA GATE",26.780149,75.826373
stop_26_76895_75_83537,SPR,"SITAPURA",26.76895,75.83537
stop_26_76583_75_83856,12M,"12 MILE",26.765835,75.838564
stop_26_77032_75_85255,GONMD,"GONER MODE",26.77032,75.852547
stop_26_77719_75_87926,JML,"MGH",26.777193,75.879256
stop_26_77583_75_88851,VIDHA,"VIDHANI",26.77583,75.888507
stop_26_77614_75_88545,POORN,"POORNIMA UNIVERSITY",26.776141,75.88545
stop_26_78580_75_91108,GAYTR,"GAYATRI MANDIR",26.785804,75.911079
stop_26_78576_75_91121,GNR,"GONER",26.785755,75.911215
stop_26_77913_75_90991,GNR,"GONER",26.779134,75.909911
stop_26_77744_75_90276,GAYTR,"GAYATRI MANDIR",26.777439,75.90276
stop_26_77574_75_88852,POORN,"POORNIMA UNIVERSITY",26.775743,75.888519
stop_26_77629_75_88336,VIDHA,"VIDHANI",26.776291,75.883361
stop_26_76577_75_83832,GONMD,"GONER MODE",26.765767,75.838318
stop_26_76920_75_83500,12M,"12 MILE",26.769204,75.835001
stop_26_77993_75_82633,SPR,"SITAPURA",26.779928,75.826333
